reference,prediction,wer,substitutions,deletions,insertions,ref_len_words,severity
සැනසිම ලැබුවෙක් කවදාවත්,සැනසීම ලැබුවෙක් කවදාවත්,0.3333,1,0,0,3,moderate
උඹ කරණ බොරු කතාවලට උඹ නයි විෂෙන් මැරෙන්න පුළුවන්,උඹ කරන බොරු කතාවලට උඹ නයිවිෂන් මැරෙන්න පුළුවන්,0.3333,2,1,0,9,moderate
ඔබ මැවූ දෙදෙනා වරදක් කළ විට,ඔබ මැවූ දියන පරදක් කළ විට,0.3333,2,0,0,6,moderate
ඒක කියන්න ඕනෙ,ඒක කියන්න ඕන,0.3333,1,0,0,3,moderate
එම සමාගමේ සභාපතිතුමා සිනහ සී පැවසුවේ,එම සමාගමේ සභාපතිතුමා සිනහසේ පැවසුවේ,0.3333,1,1,0,6,moderate
ආසියාවෙ ආශ්චර්යය වෙන්න,ආසියාවේ ආශ්චර්යය වෙන්න,0.3333,1,0,0,3,moderate
ඒකයි ඔය අසහනේට,ඒකයි ඔය අසහනයට,0.3333,1,0,0,3,moderate
ඒරකපත්‍ර නා රජ උපක්‍රමයක් යෙදී ය.,ඒරක පත්‍රනා රජ උපක්‍රමයක් යෙදී ය.,0.3333,2,0,0,6,moderate
කනගාටුව පළ කළා.,කණගාටුව පළ කළා.,0.3333,1,0,0,3,moderate
අපිට අවුරුදු දෙකක් ජූනියර් විතර එවුන්.,අපිට අවුරුදු දෙකක් ජූනිය විතර වෙවුන්,0.3333,2,0,0,6,moderate
විභංග අටුවා විශුද්ධිමග්ග සඳහන් කරන හිමි,විභංග අටුවා විශුද්ධීමක් ද සඳහන් කරන හිමි,0.3333,1,0,1,6,moderate
පිළිබඳ ව පසුතැවෙනුනෙමු?,පිළිබඳ ව පසුතැවින්නෙමු.,0.3333,1,0,0,3,moderate
සමග එකග වෙමි,සමග එකඟ වෙමි.,0.3333,1,0,0,3,moderate
එයත් අර යුනිකෝ,එයත් අර යුරිකෝ,0.3333,1,0,0,3,moderate
අහිංසක ලොතරැයි වෙළෙන්දකුගෙන්,අහිංසක ලොතරැයි වෙළෙන්දෙකුගෙන්,0.3333,1,0,0,3,moderate
සාමාන්‍යයෙන් ටේපර් යනු,සාමාන්‍යයෙන් ටේප යනු,0.3333,1,0,0,3,moderate
එදින සුගත්ගෙන් දිස්‌වූයේ,එදින සුගත්ගෙන් දිස්වූයේ,0.3333,1,0,0,3,moderate
පාණ්ඩිත්වය ප්‍රකාස කරනවා,පාණ්ඩිත්වය ප්‍රකාශ කරනවා,0.3333,1,0,0,3,moderate
උන්වහන්සේ වදාළ බව බුදු දහමේ සඳහන්වේ.,උන්වහන්සේ වදාළ බව බුදු දහමේ සඳහන් වේ.,0.3333,1,0,1,6,moderate
අපි හුඟක් පිළිතුරු,අපි හුඟක් විලිතුරු,0.3333,1,0,0,3,moderate
මේක දීල මෙතරම් කල් ගිහින් වුන,මේක දීල මෙතරම් කල් ගිහිං උනා.,0.3333,2,0,0,6,moderate
නැවත ලිවීමට ඔහුට කඩදාසි නොවී ය,නැවත ලිවීමට ඔහුට කඩදාසි නොවීය.,0.3333,1,1,0,6,moderate
දැකගත හැකි වුනත්,දැකගත හැකි වුණත්,0.3333,1,0,0,3,moderate
අනික ස්කොට්ලන්තයේ ආණ්ඩුව,අනික ස්කොට්ලන්තේ ආණ්ඩුව,0.3333,1,0,0,3,moderate
නවග්‍රහයන් ගැන කළකිරුනා,නවග්‍රහයන් ගැන කලකිරුණා,0.3333,1,0,0,3,moderate
ක්‍රෙඩිට් කාඩ් නැතුව වෙන ක්‍රමයක් නැද්ද?,රෙඩිට් කාඩ නැතුව වෙන ක්‍රමයක් නැද්ද?,0.3333,2,0,0,6,moderate
එය පිළිගන්නේ නැත්තම්,එය පිළිගන්නේ නැත්නම්,0.3333,1,0,0,3,moderate
ස්ථාපිත කරල තිබුණෙ.,ස්ථාපිත කරල තිබුණේ.,0.3333,1,0,0,3,moderate
උපසිරැසියට ගොඩක් ස්තුතියි,උපසිරැසියට ගොඩාක් ස්තුතියි,0.3333,1,0,0,3,moderate
ඒවා අධිකාරීමය ස්වභාවයකින්,ඒවා අධිකාරීමය ස්වභාවයකි.,0.3333,1,0,0,3,moderate
ශ්‍රී මහා බෝධියට විශේෂ තැනක් හිමිවිය.,ශ්‍රී මහා බෝධියට විශේෂ තැනක් හිමි විය.,0.3333,1,0,1,6,moderate
මට සෝපහාස කරති,මට සෝපවාස කරති.,0.3333,1,0,0,3,moderate
එහෙමනම් ඔබ කරන්නෙ,එහෙමනම් ඔබ කරන්නේ,0.3333,1,0,0,3,moderate
නළු කොලුවා නැගිටියි,නළු කොලුවා නැගෙතියි,0.3333,1,0,0,3,moderate
මේව කියවපුව ම,මේවා කියවපුව ම,0.3333,1,0,0,3,moderate
අපට කවදාවත් මරණයෙන් පැන යන්න බැහැ,අපට කවදාවත් මරණයෙන් පැනයන්න බැහැ.,0.3333,1,1,0,6,moderate
වෙනස් වෙන්න ඕනේ තැන් එහෙම තියනවානම්,වෙනස් වෙන්න ඕනෙ තැන් එහෙම තියනවනම්,0.3333,2,0,0,6,moderate
රෝස තිරිවානා නිධිය,රෝස තිරිවානා නිදිය,0.3333,1,0,0,3,moderate
එම ගීතය මැරිම,එම ගීතය මැරීම,0.3333,1,0,0,3,moderate
මයික්‍රසොෆ්ට් ආයතනය විසින්,මයිට්‍රසොෆ් ආයතනය විසින්,0.3333,1,0,0,3,moderate
පාරෙ අයිනක නවතිනවා,පාරේ අයිනක නවතිනවා,0.3333,1,0,0,3,moderate
දෙයියනේ මොනව නොකෑවත්,දෙයියනේ මොනවා නොකෑවත්,0.3333,1,0,0,3,moderate
අන්තිම කථාව කිව්වෙ,අන්තිම කථාව කිව්වේ,0.3333,1,0,0,3,moderate
යුද පිටියට ගිය බවත් සඳහන් ය.,යුද පිටියට ගිය බවක් සඳහන් විය,0.3333,2,0,0,6,moderate
අමරදේව යනු දුමීගේ මචං නො වේ,අමරදේව යනු දුමීගේ මචං නොවේ.,0.3333,1,1,0,6,moderate
නොමිලයේ ලබන අධ්‍යාපනය,නොමිලේ ලබන අධ්‍යාපනය,0.3333,1,0,0,3,moderate
අවුරුදු විස්සක් ඇතුළත,අවුරුදු විස්සක් ඇතුළට,0.3333,1,0,0,3,moderate
දෙවනුව ද්‍රවිඩ ආක්‍රමණිකයන් හා සටන් කිරීමය.,දෙවනුව ද්‍රවිඩ ආක්‍රමණිකයන් හා සටන් කිරීම ය,0.3333,1,0,1,6,moderate
තථාගතයෝ පිරිනිවන් පාන්නාහ.,තථාගතයෝ පිහිනිවන් පාන්නාහ.,0.3333,1,0,0,3,moderate
කුතුහලයෙන් පිරී ගියේය.,කුතුහලෙන් පිරී ගියේය.,0.3333,1,0,0,3,moderate
ප්‍රේම සම්බන්ධයක්‌ ගොඩනැගිනි.,ප්‍රේම සම්බන්ධයක් ගොඩනැගිනි.,0.3333,1,0,0,3,moderate
සත්‍ය ඊට වෙනස්,සත්‍යය ඊට වෙනස්,0.3333,1,0,0,3,moderate
එයාලා මෙතැනට ඇවිත්,එයාලා මෙතනට ඇවිත්,0.3333,1,0,0,3,moderate
අසත්‍ය ඒවා අවිද්‍යාව මිත්‍යාව සහ බොරුව,අසත්‍යය ඒවා අවිද්‍යාව මිථ්‍යාව සහ බොරුව,0.3333,2,0,0,6,moderate
එකෙනුත් ගැන කපනවා,ඒකෙනුත් ගැන කපනවා,0.3333,1,0,0,3,moderate
අද අහු උන තැන මාටියා ගහනවා,අද අහුවුණ තැන මාටියා ගහනවා,0.3333,1,1,0,6,moderate
සමාජ සාමාජිකයන් සමඟ,සමාජ සාමාජිකයන් සමග,0.3333,1,0,0,3,moderate
අදයි දැන ගත්තෙ,අදයි දැන ගත්තෙන්,0.3333,1,0,0,3,moderate
වඩාත් සෞම්‍ය පෙනුමක් මතු කරවන අයුරු,වඩාත් සෞමිපෙනුමක් මතු කරවන අයුරු,0.3333,1,1,0,6,moderate
අධිරාජ්‍යයේ ආර්ථිකයට දැඩි පසුබෑමකට මුහුණ දෙන්නට,අධිරාජ්‍ය ආර්ථිකයට රැඩි පසුබෑමකට මුහුණ දෙන්නට,0.3333,2,0,0,6,moderate
වැඩේ සුපිරිම සුපිරි එච්චචරයි ලොවෙත් නෑ.,වැඩේ සුපිරිම් සුපිරි එච්චරයි ලොවෙත් නෑ,0.3333,2,0,0,6,moderate
ඉතිහාසය සාහිත්‍ය සංගීතය,ඉතිහාසයේ සාහිත්‍ය සංගීතය,0.3333,1,0,0,3,moderate
සූර්යයාගේ ඇතුලතට වන්නට,සූර්යයාගේ ඇතුළතට වන්නට,0.3333,1,0,0,3,moderate
එය ඔබ කියන ප්‍රභූ පන්තියේ සහභාගිත්වයෙන්,එය ඔබ කියන ප්‍රභූපන්තියේ සහභාගිත්වයෙන්,0.3333,1,1,0,6,moderate
බාගන්න නිදහසක් ලැබුනේ.,බාගන්න නිදහසක් ලැබුණේ,0.3333,1,0,0,3,moderate
පාලනය කරන්න අමාරුයි.,පාලනය කරන්න අමාරු.,0.3333,1,0,0,3,moderate
බහුතරය පැත්තේ ඉන්නයි,බහුතරයෙක් පැත්තේ ඉන්නයි.,0.3333,1,0,0,3,moderate
එය අර්ථ ශුන්‍ය වන නිසා ය.,එය අර්ථ ශුන්‍ය වන නිසාය.,0.3333,1,1,0,6,moderate
සැරියුත් මහ රහතන් වහන්සේගේ ඉවසීමේ ගුණය,සැරියුත් මහරහතන් වහන්සේගේ ඉවසීමේ ගුණය,0.3333,1,1,0,6,moderate
ඔබ ඔබේ බ්ලොගයේ,ඔබ ඔබේ බ්ලොග්ගයේ,0.3333,1,0,0,3,moderate
බුදුරදුන් පිරිනිවන් පෑවේ,බුදුරදුන් පිරිනිවන් පෑවී,0.3333,1,0,0,3,moderate
යන කාලය ශ්‍රමය ධනය ගැන බැලුවම.,"යන කාලය ශ්‍රමය, ධනය ගැන බැලුව ම",0.3333,1,0,1,6,moderate
සිලිමට අක්කර සිය ගණනක් ගත්ත වගේ.,සිලිමට අකර සිය ගණනක් ගත්තා වගේ.,0.3333,2,0,0,6,moderate
එහෙයින් මේ ප්‍රදේශයේ,එයින් මේ ප්‍රදේශයේ,0.3333,1,0,0,3,moderate
මේක මමත් ගන්නවා සබ් ඒක හොදේ,මේක මමත් ගන්නවා සබ් එක හොඳේ,0.3333,2,0,0,6,moderate
මොහොතකට අපි හිතමු,මොහොතකට අපි හිතමි,0.3333,1,0,0,3,moderate
එක කුලූනක් නිලධාරීන්,එක කුළුවනක් නිලධාරීන්,0.3333,1,0,0,3,moderate
එවැනි වැරදි පූර්වාදර්ශ,එවැනි වැරැදි පූර්වාදර්ශ,0.3333,1,0,0,3,moderate
අධිරාජ්‍යවාදීන්ට එරෙහි ව නැඟී සිටීමට නම්,අධිරාජ්‍යවදීන්ට එරෙහි ව නැගී සිටීමට නම්,0.3333,2,0,0,6,moderate
ඒ කාලේ අපිට කොයින් ද දඩුමොණර,ඒ කාලේ අපිට කොයින් ද දඩු මොණර,0.3333,1,0,1,6,moderate
උන් සිංහල භාෂාවට සිරිත්විරිත්වලට වෛර කරනවා,මුන් සිංහල භාෂාවට සිරිත්වයේත්වලට වෛර කරනවා.,0.3333,2,0,0,6,moderate
සැටලයිට් නෝන ආවෙ.,සැටලයිට් නොවන ආවෙ.,0.3333,1,0,0,3,moderate
හවස් යාමයේ ලැබෙන සිංහල උපසිරැස එක්ක,අවශ්‍යාමයේ ලැබෙන සිංහල උපසිරැස එක්ක,0.3333,1,1,0,6,moderate
ලංකාවෙන් පිටවෙලා තියෙන්නෙ,ලංකාවෙන් පිටවෙලා තියෙන්නේ,0.3333,1,0,0,3,moderate
අපට ජීවත් වීමට හැකි වේ ද,අපට ජීවත් වීමට හැකි වේද?,0.3333,1,1,0,6,moderate
මොකද බොහොමයක් දෙනා කැමති නළුවෙක් තමයි,මොකද බුහුමයක් දෙනා කැමැති නළුවෙක් තමයි,0.3333,2,0,0,6,moderate
මෙහි අදහස රාජ්‍ය පාලකයකු ජනතාවට දන් දීම නො වේ,මෙහි අදහස රාජ්‍ය පාලකයකු ජනතාවට දන් දී ම නොවේ.,0.3333,3,0,0,9,moderate
ඔබේ දුරකතනයෙන් අන්තර්ජාලයට,ඔබේ දුරකථනයෙන් අන්තර්ජාලයට,0.3333,1,0,0,3,moderate
වටිනවා මගෙ හිතේ,වටිනවා මගේ හිතේ,0.3333,1,0,0,3,moderate
දෙපාර්ශ්වය ම අධිකරණය වෙත කැඳවිය යුතු,දෙපාර්ශ්වයමේ අධිකරණය වෙත කැඳවිය යුතු,0.3333,1,1,0,6,moderate
මේ අනුව ද පණ්ඩුකාභය රජ දවස,මේ අනුව ද පණ්ඩුකාභය රජදවස,0.3333,1,1,0,6,moderate
ඔක්කොම අහෝසි වුනා.,ඔක්කොම අහෝසි වුණා.,0.3333,1,0,0,3,moderate
ඇති කියල හිතුණා,ඇති කියල හිතුන.,0.3333,1,0,0,3,moderate
කසූගෙ පරිප්පු සරණිය ඉස්සෙල්ල කන්නෙ ඇහෙන්,කසුගෙ වරිප්පු සරණිය ඉස්සෙල්ල කන්නෙ ඇහෙන්,0.3333,2,0,0,6,moderate
එනම් ස්ථිර වශයෙන් නැවත නොඑන පරිදි,එනම් ස්ථීර වශයෙන් නැවත නොයන පරිදි,0.3333,2,0,0,6,moderate
එයින් යක්‍ෂ ගෝත්‍රිකයෝ,එයින් යක්ෂ ගෝත්‍රිකයෝ,0.3333,1,0,0,3,moderate
අනිවාර්යෙන් තීරණය කරනවා,අනිවාර්යයෙන් තීරණය කරනවා.,0.3333,1,0,0,3,moderate
තාත්තා එක බිංදුවක්වත්,තාත්තා එක බිංජුවක්වත්,0.3333,1,0,0,3,moderate
එයාගේ එංගලන්තයේ ඉන්න පුතාව ගෙන්න ගන්නවා,එයාගේ එංගලන්තේන පුතාව ගෙන්න ගන්නවා,0.3333,1,1,0,6,moderate
අපිට මේ ජීවිතය තුලම අත්දකින්න පුළුවන්,අපිට මේ ජීවිතය තුළ ම අත්දකින්න පුළුවන්.,0.3333,1,0,1,6,moderate
අපි කලිං ගණං හදලා තිබුණු විදියට,අපි කලින් ගනන් හදලා තිබුණු විදියට,0.3333,2,0,0,6,moderate
මසුරු මිනිසෙක් ඒ සත්කාර නො ඉවසා,මසුරු මිනිසෙක් ඒ සත්කාරනො ඉවසා,0.3333,1,1,0,6,moderate
විද්‍යාලංකාර පිරිවෙන සතු ඓතිහාසික පූජනීය වස්තුවකි.,විද්‍යාලංකාර පිරිවෙන සතු ඉතිහාසික ප්‍රජනීය වස්තුවකි.,0.3333,2,0,0,6,moderate
ඒත් ඒවා ඔක්කොම යුද්දෙට බිලි වුණා.,ඒත් ඒවා ඔක්කොම යුද්දෙට බිලිවුණා,0.3333,1,1,0,6,moderate
ඇතිවිය හැකි බව තමයි කාලගුන විද්‍යා දෙපාර් තුමේන්තුව මේ විදියට අවධාරණය කරන්නේ ඉතින් මේ වැසි තත්ත්වයත් සමග ඇති විය හැකි සුලං,ඇති විය හැකි බව තමයි කාලගුණ විද්‍යා දෙපාර්තමේන්තුව මේ විදියට අවධාරණය කරන්නේ. ඉතින් මේ වැසි තත්වයත් සමග ඇති විය හැකි සුළං,0.3333,5,1,1,21,moderate
මහාවංශය සඳහන් කරයි.,මාවංශයේ සඳහන් කරයි,0.3333,1,0,0,3,moderate
එහෙත් එම චෝදනාව,එහෙත් මේ චෝදනාව,0.3333,1,0,0,3,moderate
ඔය අනුගාමිකයො කාටවත්,ඔය අනුගාමිකයෝ කාටවත්,0.3333,1,0,0,3,moderate
සංස්කෘත විදර්ශනා යන්න,සංස්කෘතික විදර්ශනා යන්න,0.3333,1,0,0,3,moderate
දම්වැලක්‌ කකුලේ බැඳගෙන,දම්වැලක් කකුලේ බැඳගෙන,0.3333,1,0,0,3,moderate
ඊයේ මා මේ කයිකතන්දරයට දැමූ ලෝගෝව,ඊයේ මාමයේ කයිකතන්දරයට දැමූ ලෝගෝව,0.3333,1,1,0,6,moderate
ලෝක ස්වභාවය අමතක කර ජීවත්වීමේ ක්‍රමයක්,ලෝක ස්වභාවය අමතක කර ජීවත් වීමේ ක්‍රමයක්,0.3333,1,0,1,6,moderate
ඔය තොපි නටන්නෙ,ඔය තොපි නටන්නේ,0.3333,1,0,0,3,moderate
එසේ සිදු නොවූවොත්,එසේ සිදු නොවුවොත්,0.3333,1,0,0,3,moderate
බැහැර කිරීම් බහුලයි,පෙහැර කිරීම් බහුලයි.,0.3333,1,0,0,3,moderate
මැලේසියාවේ වෙසක් අසිරිය,මැලේසියාවේ වෙසක් අසිරය,0.3333,1,0,0,3,moderate
වෙනස් වූ ශාරීරික ලක්ෂණ සහිත අය,වෙනස් වූ ශාරීරික ලක්ෂණ සහිතාය.,0.3333,1,1,0,6,moderate
මෙරට එකම වෙදකම බවට බටහිර වෙදකම බවට පත් විය,මෙරට එකම වෙදකම බවට බටහිර වෙදකම පත්විය.,0.3333,1,2,0,9,moderate
හැමදෙයක් ම සම්පූර්ණයෙන් ම වෙනස් වෙනවා.,හැම දෙයක් ම සම්පූර්ණයෙන් ම වෙනස් වෙනවා,0.3333,1,0,1,6,moderate
අලූත් එකක් ගන්න,අලුත් එකක් ගන්න,0.3333,1,0,0,3,moderate
පදිංචි ස්ථානයේ අර්බුදකාරි තත්ත්වයක් හේතු කොටගෙන,පදිංචි ස්ථානයේ අර්බුදකාරී තත්වයක් හේතු කොටගෙන,0.3333,2,0,0,6,moderate
හැකියා දක්‌ෂතා නිසා,හැකියා දක්ෂතා නිසා,0.3333,1,0,0,3,moderate
අපේ අලූත් පරපුර,අපේ අලුත් පරපුර,0.3333,1,0,0,3,moderate
එක මම දන්නවා,ඒක මම දන්නවා.,0.3333,1,0,0,3,moderate
උඹ කිසිම දෙයක් දන්නේ නැති ව,උඹ කිසිම දෙයක් දන්නේ නැතුව,0.3333,1,1,0,6,moderate
බුද්ධ ශාසනයක පමණි.,බුද්ධ ශාසනය පමණි.,0.3333,1,0,0,3,moderate
බෝධින් වහන්සේ දෙගල්දොරුව විහාරයේ චිත්‍ර නිර්මාණවලට,බෝධීන් වහන්සේ දෙගොල්දොරුව විහාරයේ චිත්‍ර නිර්මාණවලට,0.3333,2,0,0,6,moderate
එය යුද පිටියක,එය යුධ පිටියක,0.3333,1,0,0,3,moderate
දොස්තරලට බිල් දාන්නේ?,දොස්ටර්ලට බිල් දාන්නේ,0.3333,1,0,0,3,moderate
ශ්‍රී ලංකා රුපියල් ලක්‍ෂක් පමණ වෙනවා.,ශ්‍රී ලංකා රුපික්‍රයල් ලක්ෂයක් පමණ වෙනවා.,0.3333,2,0,0,6,moderate
ඉපැදුණු අවස්ථාවේ සිට,ඉපදුණු අවස්ථාවේ සිට,0.3333,1,0,0,3,moderate
වයස් තලයට අනුගත වූ සුවිශේෂ සිදුවීමකි.,වයස්තලයට අනුගත වූ සුවිශේෂ සිදුවීමකි,0.3333,1,1,0,6,moderate
යන ක්‍රම තුනෙන්,යන ක්‍රම තුනින්,0.3333,1,0,0,3,moderate
කිරිපිටි භාවිත නොකළහොත් හානියක් සිදු වෙනවා,කිරිපිටි භාවිත නොකළහොත් හානියක් සිදුවෙනවා.,0.3333,1,1,0,6,moderate
තථාගතයන් වහන්සේට උපස්ථාන කරන ලද්දාහු ය.,තථාගතයන් වහන්සේට උපස්ථාන කරන ලද්දාහුය.,0.3333,1,1,0,6,moderate
අප්‍රසාදයක් ද ඉංග්‍රීසීන් කෙරෙහි ඇති විය,අප්‍රසාදයත් ඉංග්‍රීසීන් කෙරෙහි ඇති විය,0.3333,1,1,0,6,moderate
අපිත් කරන්නෙ බොරු,අපිත් කරන්නේ බොරු,0.3333,1,0,0,3,moderate
ආණ්ඩුවට නොපෙනුනාට ජනතාවට එක දැනෙනවා තේරෙනවා.,ආණ්ඩුවට නොපෙන්වාට ජනතාවට ඒක දැනෙනවා තේරෙනවා,0.3333,2,0,0,6,moderate
පිටුපසින් එල්ලෙන වල්ගය,පිටුවසින් එල්ලෙන වල්ගය,0.3333,1,0,0,3,moderate
බලුමස් සොයන්නේ හෝ කන්නේ හෝ නැත,බලු මස් සොයන්නේ හෝ කන්නේ හෝ නැත.,0.3333,1,0,1,6,moderate
ළං කරන ඒවා ඒවා එක level එකක් වෙනකන් ඔයා යන්න ඕන. එතනින් පස්සේ ඔයාට ඕක අත අරින්න පුලුවන්. එතනින් පස්සෙ ඔයා අත අරින්නත් ඕන.,සංකරන ඒවා එක level එකක් වැනි කියන්නේ ඔයා යන්න ඕන. එතනින් පස්සේ ඔයාට අත අරින්න පුළුවන්. එතනින් පස්සේ ඔයා අත අරින්නත් ඕන.,0.3333,4,3,1,24,moderate
අපිට ලබාදෙන්න පුලුවන්කම තියෙනවා. ඒකටත් කතා කරන්න තියෙන්නේ මේ අංකෙට. 0766026171 අපේ දාල තියෙන number එකට කතා කරන්න.,අපිට ලබාදෙන්න පුවා අකම තියෙනවා. ඒකටත් කතා කරන්න තියෙන්නේ මේ අංකට 0766026171. අපේ තාල් තියෙන නම් දේකට කතා කරන්න.,0.3333,5,0,1,18,moderate
අපේ අභ්‍යන්තර ජීවිතය පිරිසිදු වුණේ නෑ.,අපේ අභ්‍යන්තර ජීවිතයේ පිටසිදු වුණේ නෑ.,0.3333,2,0,0,6,moderate
ඒවයින් සිත ගැන,ඒවායින් සිත ගැන,0.3333,1,0,0,3,moderate
මම කියන්නේ ජාතිකත්වයයි ආගමයි පටලවාගන්න එපා,මම කියන්නේ ජාතිකත්වයයි ආගමයි පටලව ගන්න එපා.,0.3333,1,0,1,6,moderate
දෙක ම කාල නම් මක් කොරන්නද?,දෙක ම කාල නම් මක් කොරන්න ද,0.3333,1,0,1,6,moderate
පවූල් බොහොමයක් සිටින,පවුල් බොහොමයක් සිටින,0.3333,1,0,0,3,moderate
මා පුදුම වුනා.,මා පුදුම වුණා.,0.3333,1,0,0,3,moderate
පසු ව බලයට පත්වූයේ මේ ලාංකිකයන්ය,පසු ව බලයට පත් වූයේ මේ ලාංකිකයන්ය.,0.3333,1,0,1,6,moderate
බැරි උනු නිසා මේ විදිහට ලිව්වා.,බැරි උන් නිසා මේ විදියට ලිව්වා,0.3333,2,0,0,6,moderate
ප්‍රශ්ණයක් පමණක් නොවේ.,ප්‍රශ්නයක් පමණක් නොවේ.,0.3333,1,0,0,3,moderate
මුලින් ම මට සමාවෙන්න ඕනේ ගිය සතියේ කොටස ඔයාලට දෙන්න බැරිවුන එකට.,මුලින් ම මට සමාවෙන්න ඕන ගිය සතිය කොටස ඔයාලට දෙන්න බැරි උන එකට.,0.3333,3,0,1,12,moderate
ඔබට සිදුවුන හොත් ඔබ මොකද කරන්නේ?,ඔබට සිදුවුණහොත් ඔබ මොකද කරන්නේ?,0.3333,1,1,0,6,moderate
ඉතා දරුණු ලෙස,ඉතා දරුනු ලෙස,0.3333,1,0,0,3,moderate
කියල හිතන්න අමාරුයි.,කියලා හිතන්න අමාරුයි.,0.3333,1,0,0,3,moderate
සහ තමාගේ මත වාදය වැරදි බව,සහ තමාගේ මතවාදය වැරදි බව,0.3333,1,1,0,6,moderate
ඇරිසෝනා ප්‍රාන්තයේ පැවතී සම්මාන උළෙලේ දී,ඇරිසෝනා ප්‍රාන්තයේ පැවැති සම්මාන උල්ලේ දී,0.3333,2,0,0,6,moderate
පළමුවෙනි ලෝක යුද්ධය අවසන් වෙනවා ජර්මනියට පරාජය හිමිකර දෙමින්,පළමුවැනි ලෝක යුද්ධය අවසන් වෙනවා ජර්මනියට පරාජය හිමි කර දෙමින්,0.3333,2,0,1,9,moderate
රජය කටයුතු කරන ක්‍රියාපිළිවෙත ගැන ය,රජය කටයුතු කරන ක්‍රියා පිළිවෙත ගැන ය,0.3333,1,0,1,6,moderate
මම විශ්වාස කරමි.,මාව විශ්වාස කරමි,0.3333,1,0,0,3,moderate
හඳ මාම උඩින් යතේ කියන ගීතයත්,අඳමාමා උඩින් යතේ කියන ගීතයත්,0.3333,1,1,0,6,moderate
දැණුවත් කිරීම් මගින්,දැනුවත් කිරීම් මගින්,0.3333,1,0,0,3,moderate
තමා කියනදේ කොෂික් තේරුම් ගන්නේ ද,තමා කියන දේ කොෂික් තේරුම් ගන්නේ ද,0.3333,1,0,1,6,moderate
බසය ධාවනයට පෙළැඹිණි.,බසය ධාවනයට පෙළැඹි,0.3333,1,0,0,3,moderate
ප්‍රතිපත්ති ශාසනය පවතියි.,ප්‍රතිපත්ති ශාසනය පවතී,0.3333,1,0,0,3,moderate
ඉන්දියාවේ මුල් අදින්නෙත්,ඉන්දියාවේ මුල් හදින්නේ,0.3333,1,0,0,3,moderate
පැන නැගුන ගැටලු?,පැන නගුනු ගැටලු,0.3333,1,0,0,3,moderate
දුක් වෙන්නේ නෑ.,දුක් වෙන්නෙ නෑ,0.3333,1,0,0,3,moderate
පුරාණෝක්ති සාම්ප්‍රදායික කතන්දර,පුරාණෝක්ති සම්ප්‍රදායික කතන්දර,0.3333,1,0,0,3,moderate
ඒත් සමහර කාලවලට,ඒත් සමහර කාරවලට,0.3333,1,0,0,3,moderate
ඉන්න පැට් වගේම,ඉන්න පැටි වගේම,0.3333,1,0,0,3,moderate
මිනිස් ලොව ඉපදීම,මිනිස් ලොව ඉපදීම්,0.3333,1,0,0,3,moderate
ලංකාවේ දී මෙතෙක් හමු වී ඇති,ලංකාවේ දී මිතෙක් කමු වී ඇති,0.3333,2,0,0,6,moderate
පොල්ලකින් භික්ෂූන් වහන්සේ නමකට පහර දුන්නා.,පොල්ලකින් භික්ෂූන් වහන්සේ නමකට පහරදුන්නා.,0.3333,1,1,0,6,moderate
සම්මානයට පාත්‍ර වන බව දැන ගත්තා,සම්මානයට පාත්‍ර වන බව දැනගත්තා,0.3333,1,1,0,6,moderate
ප්‍රභූන් ද ලක්මහල් වෙත ආගිය බව,ප්‍රභූන්ද ලක්මහල් වෙත ආගිය බව,0.3333,1,1,0,6,moderate
අප පහළට බැස්සේ,අප පහරට බැස්සේ,0.3333,1,0,0,3,moderate
එම ප්‍රමාණය තව දෙගුණයකින් වැඩි වේ,එම ප්‍රමාණය තව දෙගුණයකින් වැඩිවේ.,0.3333,1,1,0,6,moderate
නිසි ප්‍රයෝජන ලබා ගත හැක්කේ ද,නිසි ප්‍රයෝජන ලබාගත හැක්කේ ද,0.3333,1,1,0,6,moderate
කරනු ලබන්නක් නොවේ.,කරුණු ලබන්නක් නොවේ.,0.3333,1,0,0,3,moderate
එහි අරමුණුවල පවත්නා සාම්ප්‍රදායික යල්පිනූ ස්වභාවය,එහි අරමුණුවල පවත්නා සාම්ප්‍රදායික යල් පිනූ ස්වභාවය,0.3333,1,0,1,6,moderate
හුදෙක් තවත් නිල වාර්තා සටහනක් ලෙස,හුදෙක් තවත් දිල වාර්තා සටහඬක් ලෙස,0.3333,2,0,0,6,moderate
ඔහු මිය ගිය ඥාතිවරයෙක් හමුවීමෙන් පසු,ඔහු මියගිය ඥාතිවරයෙක් හමුවීමෙන් පසු,0.3333,1,1,0,6,moderate
අපේ අනිත්යවාදයට සියලු දේ වෙනස් වේ,අපේ අනිත්‍යවාදයට සියලු දෙය වෙනස් වේ.,0.3333,2,0,0,6,moderate
උපවාසයක් කොරපන් කියලාය.,උපවාසයක් කරපන් කියලාය.,0.3333,1,0,0,3,moderate
එයින් ලිංගික අපයෝජනය,එයින් ටිංගික අපයෝජනය,0.3333,1,0,0,3,moderate
ඉන්දියාවේ බිහාර් ප්‍රාන්තයේ,ඉන්දියාවේ බිහා ප්‍රාන්තයේ,0.3333,1,0,0,3,moderate
ගොන් කතා නොකිය,වුන් කතා නොකිය,0.3333,1,0,0,3,moderate
