reference,prediction
මේක තමයි AI එක ඒ වචනය අර්ථය සහ ස්වභාවය වගේ දේවල් තේරුම් ගන්නේ,මේකෙන් තමයි AI එක ඒ වචනය අර්ථය සහ ස්වභාවය වගේ දේවල් තේරුම් ගන්නේ
ඒක නිසා අනිවාර්යෙන්ම මතක තියාගන්න ඕනි සෞන්දර්ය විශයන් කරන්න ආසාවෙන් ඉන්නවා නම්,ඒක නිසා අනිවාර්යෙන්ම මතක තියාගන්න ඕනි සෞන්දර්ය විශයන් කරන්න ආසාවෙන් ඉන්නවා නම්
අනිත් plus point එක තමයි ඔයාගේ පැත්තට time එක ගොඩක් save කරගන්න පුලුවන්. ඒත් එක්කම තමයි communicate කරන්න බය වෙන්න එපා. Example එකක් විදියට මම කියන්නම් අපි හිතමු ඔයා project එකක් සතියකින් දෙන්නං කියල,අනිත් plus point එක තමයි ඔයාගේ පැත්තට time එක ගොඩක් save කරගන්න පුලුවන් ඒත් එක්කම තමයි communicate කරන්න බය වෙන්න එපා example එකක් විදිනෙ මම කියන්නම් අපි හිතමු ඔයා project එකක් සති
මහ බඩවැලේ ඇතුළත ස්ථරයේ පමණක් තිබෙන දෙයක් නම් අපිට ඒ කොටස endoscopy හෝ coinoscopy මගින් විතරක්,මහ බඩවැලේ ඇතුළත ස්ථරයේ පමණක් තිබෙන දෙයක් නම් අපිට ඒ කොටස endoscopy හෝ coinoscopy මගින් විතරක්
කිව්වා ගෞතමයන් වහන්ස අපේ නිඝණ්ටයන් වහන්සේ බණ කියන්නේ මෙහෙමයි,කිව්වා ගෞතමයන් වහන්ස අපේ නිඝණ්ටයන් වහන්සේ බණ කියන්නේ මෙහෙමයි
එක පුඩුවක තමයි භෂ්ම තුනක් පැහැදිලිව පේන්න තියෙනවා මේ ආකාරයට.,එක පුඩුවක තමයි භෂ්ම තුනක් පැහැදිලිව පේන්න තියෙනවා මේ ආකාරයට
ඉතින් ආ පාසල් විද්‍යාගාරයේ දී ප්‍රෝටීන පරික්ෂා කිරීමට ඔබට අවස්ථාවක් ලැබෙනවා විශේෂෙන්ම,ඉතින් ආ පාසල් විද්‍යාගාරයේ දී ප්‍රෝටීන පරික්ෂා කිරීමට ඔබට අවස්ථාවක් ලැබෙනවා විශේෂෙන්ම
පොහොට්ටුවට ලැබිච්ච ගෝඨාභය රාජපක්ෂ මහත්තයට ලැබිච්ච ඡන්ද ලක්ෂ,පොහොට්ටුවට ලැබිච්ච යුගටාභය රාජපක්ෂ මත ලැබිච්ච ඡන්ද ලක්ෂ
පළමුවෙනි ලෝක යුද්ධය අවසන් වෙනවා ජර්මනියට පරාජය හිමිකර දෙමින්,පළමුවෙනි ලෝක යුද්ධය අවසන් වෙනවා ජර්මනියට පරාජය හිමිකර දෙමින්
ඒ ඇතුළේ මහා බැඩවැලේ ඇතුළත ස්ථරය ආහාර ජීර ණ පද්ධතියේ මුළු පද්ධතියේම ඇතුළත ස්ථරයේ තියෙන සෛල ඉතා ඉක්මනින් වර් ධනය වෙනවා,ඒ මහ බැඩවැලේ ඇතුළත ස්ථරය ආහාර ජීරණ පද්ධතිය මුළු පද්ධතියම ඇතුළත ස්ථරයේ තියෙන සයිල ඉතා ඉක්මනින් වර් ධනය වෙනවා
"මේ ඖෂධය මිලදී අරගෙන තියෙන්නේ, ඒ අදාළ සෞඛ්‍ය අමාත්‍යාංශය හා බැඳුණු ආයතන පද්ධතියේ ක්‍රමසම්පාදන ක්‍රමවේදය අනුව.",මේ ඖෂධය මිලදී අරගෙන තියෙන්නේ එය අදාළ ආයෙත් සෞඛ්‍ය අමාත්‍යාංශය හා බැඳුනු ආයතන පද්ධතියේ ක්‍රමසම්පාදන ක්‍රමවේදය අනුව
අම්මලා හැරිලාත් බලනවා ද මන්දා. ඒ ඇයි අත්හැර ගන්න බැරිවීම.,අම්මලා හැරිලත් බලනවද මං නම්. ඒ ඇයි නේ අතහැර ගන්න බැරි වීම
මොනාද මෙහෙම තව ටික බලනකොට හිතෙන්නේ,මොනාද මෙහෙම චවර් ටික බලනකොට හිතෙන්නේ
ඇතිවිය හැකි බව තමයි කාලගුන විද්‍යා දෙපාර් තුමේන්තුව මේ විදියට අවධාරණය කරන්නේ ඉතින් මේ වැසි තත්ත්වයත් සමග ඇති විය හැකි සුලං,ඇතිවිය හැකි බව තමයි කාලගුණ විද්‍යා දෙපාර්තමේන්තුව මේ විදියට අවධාරණය කරන්නේ ඉතින් මේ වැසි තත්ත්වයත් සමග ඇති විය හැකි සුළා
අද අපි කතා කරමු 2025 සහ 2026 අවුරුද්දේ මුල් කාලයේදී laptop එකක් අරගන්න බලාපොරොත්තු වෙන studens ලට ගැලපෙන specs මොනවද කියලා,අද අපි කතා කරමු 2025 සහ 2026 අවුරුද්දේ මුල් කාලයේදී ලැප්ටප් එකක් අරගන්න බලාපොරොත්තු වෙන studens ලට ගැලපෙන specs මොනවද කියලා
"මොකද්ද මට ඒකෙන් ඇහුනෙ කියන එක, what did you hear. එතකොට ඔය ප්‍රශ්නෙට උත්තරයක් විදියට මේ අක්කලා ටික යවනවා ඔයාට,",මොකක්ද මට ඒකෙන් ඇහොන ඒ කියන එක. what did you see? එතකොට ඔය ප්‍රශ්නෙට උත්තරයක් විදියට මේ අක්කලා ටික යවනවා එයාට
"අපි වේලාසනම ගොඩක් සීතල වැඩි හින්දා, එළියෙ ඉන්න පොඩ්ඩක් අමාරු හින්දා","අපි වේලාසනම ගොඩක් සීතා වැඩි හින්දා, එළියේ ඉන්න පොඩ්ඩක් අමාරු හින්දා"
ඊළඟ කොටස අහන පුතේ දුවේ ආපදා තීව්‍ර කිරීමට බලපාන මානුෂ ක්‍රියා තුනක් පැහැදිලි කරන්න.,ඊළඟ කොටස අහනව පුතේ දුවේ ආපදා තීවුර කිරීමට බලපාන මානුෂ ක්‍රියා තුනක් පැහැදිලි කරන්න.
wifi වලට සාපේක්ෂව වැඩි දුරක් එක්ක සම්බන්ධ වෙන්න පුළුවන් wireless තාක්ෂණයක් තමයි WiMax කියන්නේ.,wifi වලට සාපේක්ෂව වැඩි දුරක් එක්ක සම්බන්ධ වෙන්න පුළුවන් wireless තාක්ෂණයක් තමයි WiMax කියන්නේ.
"සිංහ ධජය නැවත ඔසවලා, ඒ පෙන්නපු අභීත වීර ක්‍රියාවේ පටන්","සිංහ ධජය නැවත ඔසවලා, ඒ පෙන්නපු අභීත වීර ක්‍රියාවේ පටන්"
කෲව්-මැකලම් ආණ්ඩුක්‍රම ප්‍රතිසංස්කරණය. ඒ වගේම ඔබගෙන් අහන්න පුළුවන්,කෲ මැකලම් ආණ්ඩුක්‍රම ප්‍රතිසංස්කරණය. ඒ වගේම ඔබගෙන් අහන්න පුළුවන්
දැන් මේ ට්‍රේක අපි හොඳටම නිවෙනකන් තියා ගන්ඩ ඕනේ. අපේ cheese එකේ පොඩ්ඩක් රස්නෙ ගතිය තියෙනවා. රස්නෙ ගතිය යනකං අපි විනාඩි දහයක් වගේ තියාගමු.,දැන් මේ ට්‍රේක අපි හොඳටම නිවෙනකන් තියාගන්න ඕනේ. අපේ cheese එකේ පොඩ්ඩක් රස්නෙ ගතිය තියෙනවා. රස්නෙ ගතිය යනකං අපි විනාඩි දහයක් වගේ තියාගමු.
දැන් මේකටත් එච්චරම ගින්දර ඕන් නැහැ දර ටිකක් ඇදලා තියෙන්,දැන් මේකටත් එච්චරම ගින්දර ඕන් නැහැ දර ටිකක් ඇදලා තියෙන්
මෙහි ප්‍රතිඵලයක් හැටියට හිට්ලර් අත්අඩංගුවට පත්වෙන්වා ඔහු තේරුම්ගන්නවා කවදාවත් මැතිවරණයකින් විනා,මේ ප්‍රතිඵලයක් හැටියට හිට්ලර් අත්අඩංගුවට පත් වෙනවා ඔහු තේරුම් ගන්නවා කවදාවත් මැතිවරණයකින් විනා
අපි හැමෝම එකතු වෙලා ආසාවෙන් කරේ. මමත් ඉතින් නිවාඩු දාලා මේ දවස් ටිකේ වැඩ කරා මගේ garden එක චුට්ටක් පිළිවෙළ කරගන්න.,අපි හැමෝම එකතු වෙලා ආසාවෙන් කරේ. මමත් ඉතින් නිවාඩු දාලා මේ දවස් ටිකේ වැඩ කරා මගේ garden එක චුට්ටක් පිළිවෙළ කරගන්න
සහෘදයනි සැබැවින්ම භූමිය මත නිශ්චලව තියෙන රාමුවක් තුළ,සහෘදයනි සැබැවින්ම භූමිය මත නිශ්චලව තියෙන රාමුවක් තුළ
වගේම ලිපිඩ වල මූලික රසායන ස්වභාවය පැහැදිලි කරන්න කියන ප්‍රශ්නය වගේම,වගේම ලිපිඩවල මූලික රසායන ස්වභාවය පැහැදිලි කරන්න කියන ප්‍රශ්නය වගේම
4 වන වගන්තියෙන් රදළවරුන්ගෙ වරප්‍රසාද ආරක්ෂා කිරීමට ඉංග්‍රීසින් එක වෙනවා. ඒ වගේම පස් වෙනි වගන්තියෙන් උඩරැටියන්ගේ,4 වන වගන්තියෙන් රදළවරුන්ගේ වරප්‍රසාද ආරක්ෂා කිරීමට ඉංග්‍රීසින් එක වෙනවා. ඒ වගේම පස්වෙනි වගන්තියෙන් උඩරැටියන්ගේ
"going to be Galle .ඉතින් දැන් ගුලිදු ලස්සනට ඒක මට grade කරලා, අපි දෙන්නා කතාකරනවා කොහොම කොහොමද මේක දැන්",going to be Galle.ඉතින් දැන් ගුනිදු ලස්සනට ඒක මට grade කරලා අපි දෙන්නා කතා කරනවා කොහොම කොහොමද මේක දැන්
දැන් ඔයගොල්ලන්ට පේනවනේ මේක දැන් වේලිලා තියෙන්නෙ යාන්තං,දැන් ඕගොල්ලන්ට පේනවනේ මේක දැන් වේලිලා තියෙන්නේ යාන්තං
ඊළඟට දූවිලි. මේ සියලූ අංශු වායුගෝලයට මුදා හැරීමේ ප්‍රතිඵලය තමයි,ඊළඟට දූවිලි. මේ සියලු අංශු වායුගෝලයට මුදා හැරීමේ ප්‍රතිඵලය තමයි.
ඉස්සරහට suresලා එන්නැති වෙයිද ? මොකද එයාට ඒක ඉගෙන ගන්න පුළුවන්ද මේ තියෙන tools එක්ක,ඉස්සරහට suresලා එන්නැති වේද? මොකද එයාට ඒක ඉගෙන ගන්න පුලුවන්ද මේ තියෙන tools එක්ක
ඒ හින්දා තමයි මේ අලුතින් ඩොප්ලර් යන්ත්‍ර 2ක් ගේන්න දැන් හදන්නේ. හැබැයි ඉතින් පරණ එකෙන් කිසිම,ඒ හින්ද තමයි මේ අලුතින් ඩොප්ලර් යන්තර දෙකක් ගේන්න දැන් හදන්නේ. හැබැයි ඉතින් පරණයකින් කිසිම
කතා කරන්න ගත්තු වෙනම physics වල තියෙන වෙනම කොටසක්. Model Physics ඉතින් මේ සාපේක්ෂතාවාදය කියලා කියන්නේ Model Physics වල එක කොටසයි. ඉතින් මම හිතනවා,කතා කරන්න ගත්තු වෙනම physics වල තියෙන වෙනම කොටසක්. Model Physics ඉතින් මේ සාපේක්ෂතාවාදය කියලා කියන්නේ Model Physics වල එක කොටසයි. මම හිතනවා
එන්න ඒ විදියට key performance indicator එකක් විදියට සල්ලි කියන එක පාවිච්චි කරන්න,එන්න ඒ විදියට key performance indicator එකක් විදියට සල්ලි කියන එක පාවිච්චි කරන්න
අපි AI ද automation ද මොක කරත් අපේ objective එක වෙන්න ඕන customer කෙනෙක් ඉන්නවා. අපි එයාට භාණ්ඩයක් හෝ සේවාවක් සපයනවා,අපේ AI ද automation ද මොක කරත් අපේ objective එක වෙන්න ඕන customer කෙනෙක් ඉන්නවා. අපි එයාට භාණ්ඩයක් හෝ සේවාවක් සපයනවා
ඒවයිදි අර මම කලින් කියපු දේවල් ඔයාලා බලලා තමයි මේවා select කරගන්න ඕනේ,ඒවායිදි අර මම කලින් කියපු දේවල් ඔයාලා බලලා තමයි මේවා select කරගන්න ඕනේ
client මුළු direction එකම වෙනස් කරන්න ඕනේ විදියෙ දෙයක් change කරන්න ඕන කිව්වොත් ඔයාට ආයේ මුල ඉඳන් පටන් ගන්න වෙයි. ඔයා ආයේ zero වලට වැටෙනවා. එහෙම ප්‍රශ්නයක් වෙන්නෑ ඔයා,client මුළු direction එකම වෙනස් කරන්න ඕනේ විදියේ දෙයක් change කරන්න ඕන කිව්වොත් ඔයාට ආයේ මුල ඉඳන් පටන් ගන්න එක ඔයා ආයේ zero වලට වැටෙනව එහෙම ප්‍රශ්නයක් වෙන්නෑ ඔය�
එතකොට යානාවෙ ගමන් මාර්ගය වෙනස් කරන්න දත්ත හුවමාරුව පටන් ගන්න සහ නවත්තන්න,එතකොට යානාවෙ ගමන් මාර්ගය වෙනස් කරන්න දත්ත හුවමාරුව පටන් ගන්න සහ නවත්තන්න
මීට අමතරව මම මේ video එකේදි කතා නොකරපු ඒ වගේම කතා කරන්න මගහැරුනු,මීට අමතරව මම මේ video එකේදි කතා නොකරපු ඒ වගේම කතා කරන්න මගහැරුනු
පලවෙනි වරට ආණ්ඩුකාර ධූරය වෙනුවට අග්‍රාණ්ඩුකාර ධූරයක් හඳුන්වලා දෙනවා,පලවෙනි වරට ආණ්ඩුකාර ධූරය වෙනුවට අග්‍රාණ්ඩුකාර ධූරයක් හඳුන්වලා දෙනවා
දෙයියනේ දැන් අර දරුවා ආවහම මොනවා කියන්නද? මේ පිස්සු මනුස්සයා මොනවා කරනවාද මංදා.,දෙයියනේ දැන් අර දරුවා ආවහම මොනවා කියන්නද? මේ පිස්සු මනුස්සයා මොනවා කරනවාද මංදා.
මේ වගේ crisis වලින් පාඩම් ඉගෙන ගෙන මේවට controls දාලා ඒ continuous environment එක business එක ඇතුලේ තියෙන්න ඕන. Learning,"මේ වගේ crisis වලින් පාඩම් ඉගෙන ගෙන, මේවට controls දාලා, ඒ ඒ continuously environment එක business එකතු තියෙන්න ඕන, learning"
Loan එක දීලා ඒක recover කරනවා. මොකද මිනිස්සුන්ගේ සල්ලි වලටත් වග කියන්න එපැයි. ඉතිං එතකොට ඔයා දැනගන්න ඕන තමන්ගේ capital structure එකට කොච්චර ප්‍රමාණයකින් ණය ගන්න පුළුවන්ද කියලා. ඒක දරන්න බැරි තාක් කල් loan එකකට යන්න එපා.,ඒක දීලා එක recover කරනවා. මොකද මිනිස්සුන්ගේ සල්ලි වැඩක් කියන්න එපැයි. ඉතින් එතකොට ඔයා දැනගන්න ඕන තමන්ගේ capital structure එකට කොච්චර ප්‍රමාණයකින් ණය ගන්න පුලු
"සමාගම් වර් ග කීපයක් පලවෙනියටම දාන්න පුලුවන් සමාගම තමයි private limited liability companies, private limited liability company යක් කියලා කියන්නේ තමන්ගේ කොටස්","සමාගම වරද කීපයක්. පලවෙනියටම දාන්න පුලුවන් සමාදම තමයි, Private Limited Libility companies. Private Limited Libility කියල කියන්නේ තමන්ගේ කොටස්"
ළං කරන ඒවා ඒවා එක level එකක් වෙනකන් ඔයා යන්න ඕන. එතනින් පස්සේ ඔයාට ඕක අත අරින්න පුලුවන්. එතනින් පස්සෙ ඔයා අත අරින්නත් ඕන.,පසංකරන ඒවා එක level එකක් වෙන්කන් ඔයා යන්න ඕන. එතනින් පස්සේ ඔයාට ඕක අතාරින්න පුළුවන්. එතනින් පස්සේ ඔයා අතාරින්නත් ඕන.
"life එකට protection එකක්, retirement plan එකක් සහ දරුවොන්ගේ education එකට. එතකොට මේ ටික combine කරලා ගන්නත් ඔයාට පුලුවන්.","ලායිෆ් එකට protection එකක්, retirement plan එකක් සහ දරුවොන්ගේ education එකට එතකොට මේ ටික combine කරල ගන්නත් ඔයාට පුළුවන්."
supply එක දෙන්න විදියක් නෑ. දාන තරමක් විකිනෙනවා. brand ඕන නෑනේ. Brand කියන එක මිනිස්සුන්ගෙන් බොක්කටම වැදිලා තියෙනවා. තව උදාහරණයක් ගන්නකෝ Kandos.,suppler එක දෙන්නේ තියන්නේ නැහැ නෑ නෑ නෑ brand කියන එක මිනිස්සුන්ගෙන් බොක්කටම වැදිලා තියෙනවා තව ධාරණයක් ගන්නවා
POTIO - Pearl Of The Indian Ocean ඒ වගේ. තමන්ට මොකක් හරි සම්බන්ධ දෙයක් වෙන්න පුලුවන්. right ඒ කියන්නේ,"Pio ටී අයෝ, perl්ලොව්ල ඉන්ඩීයන් ඕෂන්න්, perl්ලොව්ල ටී අයෝ, perl්ලොව්‍යොව්‍යොව්‍යොන් ඒ වගේ, ඒ කියන්නේ තමන්ට මොකක් හරි සම්බන්ධ දෙයක් වෙන්න පුලුවන�"
අපි contact number එක whatsapp හරහා හරි කෝල් හරි අපිත් එක්ක සම්බන්ධ වෙන්න පුලුවන් විශේෂයෙන්ම business consultancy පැත්තේන් business එකක් ගොඩදාගන්න,"ඇයි අපේ contact number එක. WhatsApp හරහා හරි, call හරා හරි අපිට එක සම්බන්ධ වෙනවා. විශේෂයෙන්ම business consultancy පැත්තෙන්. business එකක් ගොඩදාගන්න"
"වැදගත් මොකද දන්නවද ගොඩක් මේ ව්‍යවසායකයෝ ව්‍යාපාරිකයෝ brand එක හදලා, ඊට පස්සේ trademark එකක් කාටහරි කියලා artwork එකක් හදාගෙන business එක ඔයා හිතන්නකෝ එකක දුවනවා කියලා","කාට වැදගත්. මොකද දන්නවා. ගොඩක් මේ ව්‍යවර්සායකයෝ ව්‍යාපාරිකයෝ brand එක හදලා ඊට පස්සේ trademark එකක් කාට හරි කියලා artwork එකක් හදාගෙන, business එක ඔයා හිතන්නකෝ දුව�"
බැරිවීමම business එකක් fail වෙන්න තියන chance එකක්. failure එක උනාට පස්සෙ ඒක කතාකරල වැඩක් නෑ ඇත්තටම. එතකොට එනකොට අදාලත් නෑ,බැරිවීමම business එකක් fail වෙන්න තියන chance එකක් fail එක උනාට පස්සේ එක්ක කතා කරලා වැඩක් නෑ ඇත්තටම එතකොට පොතක් පොතක් අයියන්නට අදාල තියෙන්නේ නෑ
ලොකු දෙයක් කරනව කියල පෙන්නන්න මේගොල්ලො අතර තරගයක් තියෙනවා. මේක කාගෙවත් වැරැද්දක් නෙවෙයි රවී. මේක තමයි ඉතින් middle class mentality,දෙයක් කරනවා කියලා ඒ පෙන්නනම මේගොල්ලෝ අතර තරගයක් තියෙනවා මේක මෙක කාගත් වැරැද්දක් නෙමේ රවී ඒක තමයි ඉතින් ඒ middle class mentality එකේ
හැබැයි රජයන් වලට මේක කොයි level එකකින් කරන්න පුලුවන් වුනාද කියන එක සම්බන්ධව ලොකු ප්‍රශ්නාර්ථයක් අපිට තියෙනවා.,හැබැයි රජයන් වලට මේක කොයි level එකකින් මේක කරන්න පුළුවන් උනාද කියන එක සම්බන්ධව ප්‍රශ්නාර්ථයක් ලොකු අපිට තියෙනවා.
"ලඟකදි ඉඳං ආයි stock market එක ගැන ලොකු නැඹුරුවක් ඇවිල්ලා තියනවා රවී. ඒ කියන්නේ මං හිතන්නේ දැන් ආර්ථිකය නැවතත් යථා තත්වයට පත් වීම මත, කට්ටියගෙ දැන් අතේ ටිකක් මුදල් ගැවසීමක් සිදුවෙනවා. ඉතින් ඒකත් එක්කම මං හිතන්නේ දැනුවත්භාවයත් මං හිතන්නේ අපි කරන program හරහාත් මං හිතන්නේ දැනුවත්භාවයක් ඇති වෙලා, අර legitimate",එකක් හිතන් ආයි stock market එක ගැන ලොකු නැඹුරුවක් ඇවිල්ල තියෙනවා රවී ඒ කියනවා. මං හිතන්නේ දැන් අර ආර්ථිකය නැවතත් යථා තත්ත්වයට පත්වීම මත කට්ටියගෙ දැ
සෑහෙන අපිත් එක්ක community යක් build වෙනවා ඉතින්. මේකේ අර හැමෝටම මේ ඕන එකම එක දෙයයි ඒ කියන්නෙ ගොඩයන්න. සහා තමන්ගේ personal financial wealth එක bulid කරගන්න සහා මෙතනින් එහාට දෙයක් හිතන්න සහ business අදහස් තියෙන කට්ටිය ඉතින් මේ හැමෝටම ඕන ඒ දේ. මං හිතන්නෙ අපි අර,සෑහෙනව අපිත් එක community එකක් build වෙන්නේ මේකේ අර හැමෝටම මේ ඕන එකම එක දේ අයයි ඒ කියන්නේ ගොඩ යන්න අර උඩ යන්න තමන් මේ personal financial එක build කරගන්න සහ වෙතනින් එහාට දෙයක් හි�
"මහන්සි වෙලා වැඩ, ඇත්තටම මහන්සි වෙලා වැඩ කරන්න ඕනත් නැහැ ඉතින්. දැන් කට්ටිය ඉතින්. ඒ හැමදේම දියුණුයි අර 70 ගනන් වල 80 ගනන් වල සල්ලි හම්බ කරන්න මහන්සි උනා. දැන් එහෙම මහන්සි වෙන්න ඕන නැහැ. ඒවා හරි ලේසි වෙලා තියෙන්නෙ.",වැඩකයි. ඇත්තටම මහත්තයොට වැඩ කරන්න ඕනෙත් නැහැ ඉතින් නැකන්න එක්ක. දැන් ගනිදේ. ඒ හැමදේම දියුණුයි. ඇත්ත ගනන් වල අසූ බලන් වල සල්ලි හම්බ ගනන�
"corporate business එක ඊට පස්සේ අපි ගේන්න ඕන level එක තමයි multi national එක, multi national කියන්නේ ලංකාව සහ තවත් රටවල් ගණනනාවක්",කෝපරෙට් බිස්නස් එක ඊට පස්සේ අපි ගේන්න ඕන level එක තමයි මයිටින්සල් එක. මයිටින්සල් කියන්නේ ලංකාව සහ තවත් රටවල් ගණනාව
හැබැයි හැමෝටම අපි අපි මුලින් කියලා තියෙනව තමන්ගේ business එක සහ එ වැඩේ face එක තමන් වෙන්නේ කියලා කියල,හැබැයි හැමෝට අපි අපි මුලින් කියලා තියෙනවා. තමන්ගේ business එකේ සහ ඒ වැඩේ facebook page එක තමන් වෙන්න කියලා කියලා
"තමන්ටත් මෙහෙමයී. ඕකෙ අනිත් කතාව අපි අර හැමවෙලේම කියනවා තමන්ට මේකට වියදම් කරන්න සල්ලි තියන්වා නම් කිසි අවුලක් නෑ. Loan ගන්නැතුව සල්ලි වියදම් කරන්න පුළුවන් නම්, ඔයා wedding එකට ලක්ෂ 50 නෙවෙයි කෝටි 5ක් වියදම් කරත් අපිට කිසි අවුලක් නෑ.",තමන්ට මෙම අනිත් කතාව අපි අර හැමවෙලේම කියන්නේ තමන්ට මේකට වියදම් කරන්න සල්ලි තියෙනවා නම් කිසි අවුලක් නෑ loan ගන්නැතුව සල්ලි වියදම් කරන්න ප�
දෙනවා නම් ඔබේ ඔබේ මුදල් වලට වගවීමක් ඔබට තියෙන්න ඕන එතකොට ඔබේ මුදල්,දෙනවා නම් ඔබේ ඔබේ මුදල් ඔබලට වග වීමක් ඔබට තියෙනවා. එතකොට ඔබේ මුදල්
සහ ඔය thesis එක ගැන බලන්න. මොකද්ද කරන්න ඕන කොහොමද කරන්න ඕන කියන එක ගැන සම්පූර්ණ clear picture එකක් ඔවාට හදාගන්න පුලුවන්කම තියෙනවා.,සහ program පිරිස් එකක් බලන්න. මොකක්ද කරන්න ඕන කොහොමද කරන්න ඕන කියන එක ගැන සම්පූර්ණ clear pictures එකක් ඔයාට හදාගන්න පුළුවන්කම තියෙනවා. රටේ නම්
අදටත් රත්තරන් කියන්නේ බොහොම හොද stable investment එකක්. හැබැයි රත්තරන් වල invest කරනකොට ඔයා හොදට දැනගන්න ඕන තමයි රත්තරන් ගන්නවානම්.,අදටත් රත්රං කියන්නේ බොහොම හොඳ stable investment එකක්. එදා රත්රං වල invest කරනකොට ඔයා හොඳට දැනගන්න ඕන තමයි මේ රත්රං ගන්නවනම්
නංගිට ගනන් උගන්නන්න කියලා පටන් ගතතේ. ඔය ඇන්ටි එහෙම campus ගියපු එහෙම එක්කෙනෙක් නෙවේයි.,නං විට ගණන් වූ ගන්නට ගිහිල්ලා පටන් ගත්තා. ට්‍රෑයික් මේවා campus යෙම එක්කෙන් නෙමේ.
"බිත්තරේ මිල වැඩිවීම හෝ අඩුවීම, පාන් ගෙඩියේ මිල වැඩිවීම හෝ අඩුවීම, current බිල වැඩිවීම හෝ අඩුවීම මත ඔයාගේ","මිල වැඩිවීම හෝ අඩුවීම, පාන් ගෙඩියේ මිල වැඩිවීම හෝ අඩුවීම, කරන් බිල වැඩිවීම හෝ අඩුවීම මත ඔයාගේ"
පොඩි කොමිනිකේෂන් එකක් දාගත්තා නං ඕකයි මේ. එහෙම නැත්නම් මොනවා හරි කෑමක් බීමක් විකුණන එකක් දාගන්න එක්කෙනෙක්ට ඕක මාර idea එකක්.,පොඩි communication එකක් දාගත්ත නම් ඕකයි නේ. එහෙම නැත්නම් මොනවා හරි කෑම බීමක් විකුණ් එකක් දාගන්න එක්කෙන්ට ඕක මාර idea එකක්. ඔන්න
2024 එක අනුව 4800 ක් හරි 5000 ට කිට්ටු ගාණක් ඒ කියන්නේ අපේ වගේ අඩුම අපේ වගේ 18 ගුණයක් වැඩි,"2024 ට අනුව. 16 හරි 50 ක් හරි කිට්ටු ගාණයක් තියෙනවා. ඒ කියන්නේ අපේ වගේ අඩුම සියයට, අපේ වගේ 18 ක් වැඩියි."
එහෙම නොවෙන්න ඔයාගේ ඔළුවේ තියෙන ප්‍රශ්න ටික cover වෙන්න මේක ආවද කියලා insurance පොලි,උද්ගත වෙනව එහෙම නොවෙන්න ඔයාගේ ඔලුවේ තියෙන ප්‍රශ්න ටික cover වෙන්න මේක ආවද කියලා insurance policy
අපේ ආදරණීය ඉල්ලීම අපි පහුගිය episode එකෙන් නිකමට වගේ කිව්වා සහ අපිට හිතුනා,ඒක තමයි අපි ආදරණීය ඉල්ලීම. අපි පහුගිය episode එකෙන් නිකම්ට වගේ කිව්වා සහ පිට හිතුනා
ඕකත් එක්ක අපි පොඩ්ඩක් emotional තැනකට පලවෙනි episode එක අරන් එන්න ඕන කියලා මට නිකන් personally හිතුනා.,ඕකත් එක්ක අපි දැන් මේක පොඩ්ඩක් emotional තැනකට අපි පිලේ episode එක අරන් එන්න ඕන කියලා. මට ඉගහන්නේ personal හිතුනා.
අපිට ලබාදෙන්න පුලුවන්කම තියෙනවා. ඒකටත් කතා කරන්න තියෙන්නේ මේ අංකෙට. 0766026171 අපේ දාල තියෙන number එකට කතා කරන්න.,පෙන්නේ ඒවා අපිට ලබා දෙන්න පුවා අප තියෙනවා. ඒකටත් කතා කරන්න තියෙන්නේ මේ අංකට 0766026171 අපේ තාල් තියෙන නම් දේකට කතා කරන්න
එතකොට ඔයා බලයි එහෙමනම් මොකද කරන්න ඕන. එහෙම නම් කරන්න ඕන පළවෙනි කාරණය තමයි දැන් ඔයා රස්සාවක් හරි මොකක් හරි කරනකොට වාහනයකට ගැලපෙන key money එකක් down payment එකක් තමන් මුලින් build කරන්න.,එතකොට ඔයා බලයි එහෙම නම් මොකක්ද කරන්න ඕන? එහෙම නම් කරන්න ඕන පලවෙනි කාරණය තමයි දැන් ඔයා රස්සාවක් හරි මොකක් හරි කරනකොට වාහනයකට ගැලපෙන කී money එක
"performersලා විදියට එළියට එන්න මේ වෙලාවේ income එකක් හොයන අයට income එක develop කරගන්න, ඒ වගේම මේ වෙලාවේ income නැති හැබැයි capacity එක",විදිහට එළියට එන්න මේ වෙලා income එකක් හොයන අයට income එක develop කරගන්න යොගේ මේ වෙලා income එකක් නැති හැබැයි capacity එක
"ඒ සම්බන්ධයෙන් උපදේශයක් අවශ්‍ය නම්, මග පෙන්වීමක් අවශ්‍යනම්, ඒ ඕනම දෙයක් වෙනුවෙන් සහ අපේ වැඩසටහනකට කමෙන්ට් එකක් දෙන්න, අපේ වැඩසටහනේ කතා කරන්න, ඕන දේවල් ගැන කියන්නත් මේ number එක හරහා",ඒ සම්බන්ධ උපදේශයක් අවශ්‍ය නම් මග පෙනීමක් අවශ්‍ය නම් ඒ ඕනුම දෙයක් වෙනුවෙන්ද සහ අපි වැඩි සරහන එකද ගමෙන්ට් එකක් දෙන්නේ අපි වැඩි සරහන කතා
