reference,prediction
එවේලෙහි භාග්‍යවත් බුදුරජාණන් වහන්සේ,එවේලෙහි භාග්‍යවත් බුදුරජාණන් වහන්සේ
මේ ගැන ධර්මපාල තුමා තුළ ඇති වූ ප්‍රීතිය,මේ ගැන ධර්මපාල තුමා තුළ ඇති වූ ප්‍රීතිය
ලොව බොහොමයකි.,ලොව බොහෝ මෙයකි.
මුණ්ඩ රජු බුද්ධ පරිනිර්වාණයෙන්,මුන්ට රජු බුද්ධ පරිනිර්මාණයෙන්
සිංහල ප්‍රබන්ධ කතාවේ ව්‍යුහ සංරචනයේ,සිංහල ප්‍රබන්ධකතාවේ ව්‍යුහ සංරචනයේ
කරල්ලියද්දේ බණ්ඩාරගේ දියණිය,කරල්ලියද්දේ බණ්ඩාරගේ දියණිය
විශේෂ සාකච්ඡාවකට එක් වෙමි,විශේෂ සාකච්ඡාවකට එක්වෙමි.
වැඩිපුර පැමිණෙන්නේ කවුද?,වැඩිපුර පැමිණෙන්නේ කවුද?
ඒ ගැන ගොබ්බ කතා කියන්න තරම්,ඒ ගැන ගොප්ප කතා කියන්න තරම්
ඉන් හරියට ම වසර කට පසුයි,ඉන් හරියට ම වසරකට පසුයි
ඒවායේ ඒවාටම ආවේණික වූ සබඳතා,ඒවායේ ඒවාට ම ආවේණික වූ සබඳතා
එය ඉතාම පැහැදිලි ව කරන්න හැකිවුණා.,එය ඉතාම පැහැදිලි ව කරන්න හැකි වුණා
බලන්න මේ අසිරිමත් බෝසත් කුමරා උපදින විට,බලන්න මේ අසිරිමත් බෝසත් කුමරා උපදින විට
බුදු පිළිම නෙළීමේ කලාව,බුදු පිළිම නෙලීමේ කලාව
ඉතිං ඒක බොරුයි කියන්න මට බෑනෙ,ඉතිං ඒක බොරුයි කියන්නෙ මට බෑනෙ
එම වරද සිදු කළ පුද්ගලයා තුළ,එම වරද සිදුවෙන පුද්ගලයා තුළ
එහි දී එහි ප්‍රමාණය,එහි දී එහි ප්‍රමාණය
ගරු අධිකරණයේ අවධානයට යොමු කරනවා.,ගරු අධිකරණයේ අවධානයට යොමු කරනවා.
ඔවුන් හිතනවා.,ඔවුන් හිතනවා
වෙලාවට වැටෙන්නේ එසේ මෙසේ අමාරුවල නෙමෙයි,වෙලාවට වැටෙන්නේ එසේ මෙසේ අමාරුවල නෙවෙයි.
ග්‍රාමීය වශයෙන් කර්මාන්තශාලා,ග්‍රාමීය වශයෙන් කර්මාන්තශාලා
යහළුවන් දෙදෙනාගෙන් ඉබ්බා,යහළුවන් දෙදෙනාගෙන් ඉබ්බා.
නැවත ප්‍රතිසංස්කරණ කරන ලද,නැවත ප්‍රතිසංස්කරණ කරන ලද
අලුත් පරම්පරාවේ නවකතාකරුවන්ට,අලුත් පරම්පරාවේ නවකතා කරුවන්ට
ප්‍රකාශයක් ලබල දෙන්න?,ප්‍රකාශයක් ලබල දෙන්න
ඔය කිසිම අන්තරාදායක,ඔය කිසිම අන්තරාද්‍රායක
ප්‍රවෘත්ති නිවේදනය කරන එක අපහසුයි.,ප්‍රවෘත්ති නිවේදනය කරන එක අපහසුයි.
බුදුන් වහන්සේ හැමවිට,බුදුන් වහන්සේ හැම ඉඩම
අද කොටසින්,අද කොටසෙන්
දේශපාලනේ ගෑවිලා තියන නිසා.,දේශපාලනී ගෑවිලා තියෙන නිසා.
බොහෝ ම ස්තූතියි හැදෙනාට ම එළ එළ,බොහොම ස්තූතියි හැම දෙනාට ම එල එල
සමීර අයියට ස්තූතියි,සමීර අයියට ස්තුතියි
පුරුදු නැත්තේ .,පුරුදු නැත්තේ.
උත්සව පවා සංවිධානය කර තිබූ බව,උත්සව පවා සංවිධානය කර තිබූ බව
කටයුතු කරන්න තිබුණෙ මීට පෙරදියි,කටයුතු කරන්න තිබුණේ මීට පෙරදී
මේ වෙරළට බහිනවා.,මේ වෙරට බහිනවා.
මේසයක් සෙවීමට අවශ්‍ය නොවීම ද,මේසයක් සෙවීමට අවශ්‍ය නොවීම ද
ගැටලුව මදක් නිරවුල් කරගැනීමට උත්සාහ කරමු,ගැටලුව මඳක් නිරවුල් කරගැනීමට උත්සාහ කරමු.
මේ කියන පුද්ගලයින් කොහොම ද,මේ කියන පුද්ගලයින් කොහොමද?
නිපන් වචන හා සමපාත යෙදුම්,නිපන් වචන හා සමපාත යෙදුම්
එයා මේකට ආපු කෙනෙක් කියලා,එයා මේකට ආපු කෙනෙක් කියලා
බහුතරයක් මිනිසුන් සත්‍ය දැකීමට,බහුතරයක් මිනිසුන් සත්‍ය දැකීමට
බුදුන් වහන්සේ,බුදුන් වහන්සේ
බාගෙන බලනවා,බාගෙන බලනවා.
ඇනගෙන ඇනගෙන යනවා.,ඇනගෙන ඇනගෙන යනවා.
එහි න්‍යාය ධර්ම,එහි න්‍යාය ධර්ම
බුදුරදුන්ගේ සමස්ත දේශනාවෙන් ම කියැවෙන්නේ,බුදුරදුන්ගේ සමස්ත දේශනාවෙන් ම කියවෙන්නේ
ඊළඟ එක ලැබෙනවා,ඊලග එක්ක ලැබෙනවා.
ඇය සඳහා ගෙනෙන ලද කෝපි කෝප්පය,ඇයි සඳහා ගෙනෙන ලද කෝපි කෝප්පය
මෙහි දී සාහිත්‍යකරුවන්ට විෂය වූ,මෙහි දී සාහිත්‍යකරුවන්ට විෂය වූ
ඇයි කෝක් ගන්න සල්ලි තියේයැ?,ඇයි කෝක් ගන්න සල්ලි තියේ ය
ස්තුතියි යශෝ සිංහල උපසිරසට ජය වේවා!,ස්තුතියි අසුවසිංහල උපසිරිමට ජය වේවා
අපේ ගොඩක් චිත්‍රපටි අයිිතිකාරයො කරන්නේ,අපේ ගොඩක් චිත්‍රපටිය අයිතිකාරයෝ කරන්නේ
දැනුණු සතුට කොයි වගේද?,දැනුනු සතුට කොයි වගේ ද
එහෙත් ආණ්ඩුව කියා සිටියේ,එහෙත් ආණ්ඩුව කියා සිටියේ
වසරක් පාසා,වසර ක් පාසා
පරිසරයක් හදාගන්න ඕනෙ.,පරිසරයක් හදාගන්න ඕනේ.
ඒත් සමාජයේ ඉහළින් ම කාන්තාවකට,ඒත් සමාජයේ ඉහළින් ම කාන්තාවකට
ඉතින් අවසරය ලැබෙන්නේ,ඉතින් අවසරය ලැබෙන්නේ
මෙසේ තහනම් කරන වෙබ් අඩවි,මෙසේ තහනම් කරන වෙබ් අඩවි
ආකාරය ඊළඟට ඉතා වැදගත් වේ.,ආකාරය ඊළඟට ඉතා වැදගත් වේ.
ගස තේරීමෙදී,ගස තේරීමේ දී
මධ්‍යම පළාතේ ලයනල් සමරජීවය,මධ්‍යම පළාතේ ලයිනල් සමර ජීවය
විපක්ෂ නායකවරයා කීවේය.,විපක්ෂ නායකවරයාත් කීවේ ය
බැලූ බැල්මට නීති විරෝධී ලෙස පෙනෙන,බැලූ බැල්මට නීති විරෝධී ලෙස පෙනෙන
පක්ෂත් හෑල්ලු වෙනවා,පක්ෂත් හෑල්ලු වෙනවා.
සින්දුව කියපු විදිය දිහා,සින්දුව කියපු විදිය දිහා
පාට බලලා දේශපාලනයට,පාට බලලා දේශපාලනයට
සමස්ත සමාජය ම,සමස්ත සමාජය ම
මෙලොව ඉපදුණු අප,මෙලොව ඉපදුණු අප
මම ලිපිය අවසන් කරන්නම්,මම ලිපිය අවසන් කරන්නම්.
කොසොල් රජ්ජුරුවෝ ගාවට උස්සගෙන ගියා,කොසොල් රජ්ජුරුවෝ ගාවට උස්සගෙන ගිය
ඇත්ත අවශ්‍යතාවක් තියෙන කණ්ඩායම් සොයාගෙන යන්න,ඇත්ත අවශ්‍යතාවයක් තියෙන කණ්ඩායම් සොයාගෙන යන්න
හිඳ ගත්තා.,හිඳගත්තා.
අපි සියයට එකසිය විසි හත දක්වා වැඩි කළා,අපි සියයට එක සිය විසිහත දක්වා වැඩි කළා.
මල් කඩනවා ෆෝන් එකෙන්.,මල් කඩනවා ෆෝන් එකෙන්
වචන ගොත ගැසෙන්නට ඉඩතිබේ,වචන ගොත ගැසෙන්නට ඉඩ තිබේ.
සිව්හෙළයට අයිති වන යක්ෂ කියන ගෝත්‍රයට,සිව්හෙළයට අයිති වන යක්ෂ කියන ගෝත්‍රයට
විද්වත් ලෝකයා පිළිගත් ක්‍රමයි.,බිත්වත් ලෝකයා පිළිගත් ක්‍රමයයි.
දැඩිසත්කාර ඒකකයේ හිටියේ.,දැඩි සත්කාර ඒකකේ හිටියේ
බොහෝ බෞද්ධයෝ අතිශය ගෞරවාදරයෙන්,බොහෝ බෞද්ධයෝ ආතිශය ගෞරව ආදරයෙන්
සිංදුවක් තමයි,සිංදුවක් තමයි
කරපු මහා ව්‍යාපෘතියක්.,කරපු මහා ව්‍යාපෘතියක්.
මෙම ඉබ්බන් විශේෂ මස් වැද්දන්ගේ ගොදුරු බවට පත් වීම,මෙම ඉපන් විශේෂ මස් වැද්දන්ගේ ගොදුරු බවට පත් වීම
ඔයාලගේ කාලය ඉවරවෙන්න පුලුවන්.,ඔයාලගේ කාලය ඉවර වෙන්න පුළුවන්.
එකල බෞද්ධ සාහිත්‍ය වින්දනය කළේ ශ්‍රවණයෙනි.,එකල බෞද්ධ සාහිත්‍ය වින්දනය කළේ ශ්‍රවණයෙනි.
ලංකා ඉතිහාසයේ සඳහන් නොවන,ලංකා ඉතිහාසයේ සඳහන් නොවන
ඔන්න මම තවත්,ඔන්න මම තවත්
සාධනය කළ නොහැකිය.,සාධනය කළ නොහැකි ය
සෘජුව ම රැකියා සපයමින්,සෘජුව ම රැකියා සපයමින්
මුළුතැන්ගේ දෙසින්,මුල් තැන්ගේ දෙසින්
ඈට මතක් වුණා,ඇයට මතක් වුණා
අනඳ හිමියන්ට දේශනා නොකොට,අනඳ හිමියන්ට දේශනා නොකොට
ලස්සනට හැඳ ගෙන සිටින අවස්ථාවක,ලස්සනට හැඳගෙන සිටින අවස්ථාවක
සොසේජස් සහ හොට් ඩොග් වැනි නිෂ්පාදනයන්,රජු සහ හොන්ඩෝ ගණිල් නිෂ්පාදනය
අවසානෙට මයිකල්ව කම්පැනියේ අයට අහුවෙනව නේ,අවසානයට මයිකල්ව කම්පනියේ අයට අහුවනව නේ
බෞද්ධ ලොව පළමු වරට,බෞද්ධ ලොව පළමුවරට
ලියාගන්නව ලු,ලියා ගන්නවා ලු
ගම්මානවලට ගිනි ලබන ලදී.,ගම්මානවලට ගිනි ලබන ලදී.
අපේ රටට නම් තවත් යුද්ධ එපා.,අපේ රට නම් තවත් යුද්දෙ එපා
අද ඇති ප්‍රබෝධය,අද ඇති ප්‍රබෝධය
එවිට ආනන්ද හිමියන් කියා සිටියා,එවිට ආනන්ද හිමියන් කියා සිටියා
මුඩුක්කුවක ඉපිද,මුඩු කුවක ඉපිද
ගෙනියන්න සුදානම් කරන්න ඇති,ගෙනියන්න සූදානම් කරන්න ඇති
අභිෂේක ලබා,අභිෂේක ලබා
ගෙවීමත් අඩුවෙයි.,ගෙවීමත් අඩු වෙයි.
විනය ප්‍රඥප්ති අත්‍යවශ්‍යය.,ගිනේ ප්‍රඥා චත්‍යාවශ්‍ය ය
බූවල්ලාගේ විෂ,බූවල්ලාගේ විෂය
අඩි විස්සක් පමණ දිග මේ සර්පයා දුටු විටම,අඩි විස්සක් පමණ දිග මේ සර්පයා දුටු විටම
එඩ්ගා කේසි කරපු අනික් එව්වත්,එඩ්ගා කේසි කරපු අනෙක් කිව්වත්
දෙයක් අහම්බෙන් ඇහුන,දෙයක් අහම්බෙන් හැහුන.
අති බලසම්පන්න එකැස් යෝධයෙක් ගැන කියැවේ.,අතිබලසම්පන්න එකස් යෝධයෙක් ගැන කියවේ
බස්‌ රථයෙන් යැම සඳහා ය,බස් රථයෙන් යෑම සඳහා ය
බුදුරදුන් නාගදීපයට වැඩම කළ ගමනේ දී,බුදුරදුන් නාගදීපයට වැඩම කළ ගමනේ දී
එයින් ධර්මය නොනැසී පැවතීමට,එයින් ධර්මය නොනැසී පැවතීමට
හැමදාම වෙන්නේ,හැමදාම වෙන්නේ
පෙනුමෙන් එක සේ ඔබින,පෙනුමින් එක සේ එවබිණ.
තමන් ඉගෙන ගත්ත තැනට ආදරෙයි නේ,තමන් ඉගෙන ගත්ත තැනට ආදරෙයිනේ.
බුදුරදුන්ගේ ගුණ ගායනා කළ නිසා ය.,බුදුරදුන්ගේ ගුණ ගායනා කළ නිසා ය.
එක්සත් ජාතික පක්ෂයෙන් මහ ඇමැති ධුරය සඳහා,එක්සත් ජාතික පක්ෂයෙන් මහ ඇමති ධූරය සඳහා
කෝ එයාට?,කෝ එයාට
බෙන්ජමින් ෆ්රෑන්ක්ලින් විසින් අකුණු සන්නායකය නිපදවීමෙන් අනතුරු ව,බෙන්ජමින් ෆ්රෑන්ක් විසින් අකුණු සන්නායක නිපදවීමෙන් අනතුරු අය
රන්දිමා තමයි.,රන්දිමා තමයි.
මොනරාගල හා ත්‍රිකුණාමලය වැනි ඈත පළාත්වලින්,මොනරාගල හා තිරිකුණාමලය වැනි ඈත පළාත්වලින්
ධර්මය අහක දාන්න එපා,ධර්මය අහක දාන්න එපා.
සප්‍රමාණ ඥාන මාර්ගයක් වශයෙන්,සප්‍රමාණ ඥාන මාර්ගයක් වශයෙන්
කකාට පුළුවන් වෙයිද?,කකාට පුළුවන් වෙයිද?
නුවණින් කල්පනා කිරීමයි,නුවණින් කල්පනා කිරීමයි.
"මෙය, මත්පැන් පානයෙන් කෙනකුට සිදු වූ","මෙය, මත්පැන් පානයෙන් කෙනෙකුට සිදු වූ"
රට්ඨපාල සිය නිවසට පැමිණ,රත්ත පාර සිය නිවසට පැමිණ
ඉතින් මෙතැන දී පැහැදිලි වන කරුණක් තමයි,ඉතින් මෙතන දී පැහැදිලි වන කරුණක් තමයි
පුද්ගලයා ස්වකීය කාර්ය භාරය,පුද්ගලයා ස්වකීය කාර්යභාරය
අපේ ආදී ම යුගයක,අපේ ආදීම යුගයක
තුෂාරි මූණ,තුෂාරි මුණ
සියල්ලන් ම තම නිවෙස්වලට ගිය,සියල්ලන් ම තම නිවැස්වලට ගිය
ඒවා සේරම නාස්ති වෙලා ගියා,ඒවා සේරම නාස්ති වෙලා ගියා
ලෝකයේ පිබිදෙමින් එන,ලෝකයේ පිබිදෙමින් එන
වෙහෙර විහාර සිව මන්දිර බවට,වෙහෙර විහාර සිව මන්දිර බවට
එම බමුණු චාරිත්‍ර,එම බමුණු චාරිත්‍ර
කරන කෑලි නරක වචන තියෙනවා,කරන කෑලි නරක වචන තියෙනවා.
එසේ නොවන කවියා,එසේ නොවන කවියා
මුලින් ම අසන්නට ලැබෙන්නේ,මුලින් ම අසන්නට ලැබෙන්නේ
ස්තුතියි සහො!,ස්තුතියි සහෝ
දාහක් දෙදාහක් දුන්නත් කොච්චර දෙයක් ද,දාහක් දෙදාහක් දුන්නත් කොච්චර දෙයක්ද?
රාවණ රජු පිළිබඳ ව කිසිදු විස්තරයක්,රාමණ රජු පිළිබඳ ව කිසිදු විස්තරයක්
අවශ්‍ය මාර්ගය තැනීමක් නොවී ය,අවශ්‍ය මාර්ගය තැනීමක් නොවීය.
ප්‍රගතියක් දක්නට නොලැබෙන අතර,ප්‍රගතියක් දක්වන්නේ නොලැබෙන අතර
මහින්දාගමනයට පෙර බුදු දහම,මහින්දාගමනයට පෙර බුදු දහම
හපොයි,හපොයි.
පිරිමි ළමයින් යන එන තැන් ගැනත්,පිරිනි ළමයි යන එන තැන් ගැනත්
ඔන්න යාළුවනේ,ඔන්න යාළුවනේ
අසුපිනිඇල්ලට යන්න ඕනෑ දෙයියන්වල පැත්තෙන්.,අසුපිනි ඇල්ලට යන්න ඕනෑ දෙයියන්වල පැත්තෙන්
රුව ඇති තරුණියක් සොයා ගැනුණා.,රුව ඇති තරුණියක් සොයා ගැන නම්
ඇවිත් ගහේ කොළවලින් ඔටුන්නක් හදාගෙන,ඇවිත් ගහේ කොලවලින් ඔටුන්නක් හදාගෙන
එතරම් සාර්ථක නොවන බව,එතරම් සාර්ථක නොවන බව
බළන්ගොඩ ආනන්ද මෛත්‍රෙය මහා නායක හාමුදුරුවන් වහන්සේ පිළිබඳ,බලන්ගොඩ ආනන්ද මෛත්‍රී මහා නායක හාමුදුරුවන් වහන්සේ පිළිබඳ
උඔලා අපට ම පාට් දානවද?,උඹලා අපට ම පාට් දානවද?
ඔබේ කුතුහලයට,ඔබේ කුතුහලයට
ඉතිං නිමල් ඕගොල්ලන්ගේ න්‍යායෙන් ඒක විග්‍රහ කරන්න,ඉතින් ඒ මල් ඕගොල්ලොන්ගෙන් යායෙන් ඒක විග්‍රහ කරන්න
බිලියන ගානක් වියදම් කරලා හැදුවත්,බිලියන ගානක් වියදම් කරලා හැදුවත්
ඔබත් සුනාමියට මුහුණ දීපු කෙනෙක් නම්,බස් උනාමියට මුහුණ දීපු කෙනෙක් නම්
අනෙකුත් ආකාරයෙන් හැප්පීමට සූදානම්,අනෙකුත් ආකාරයෙන් හැප්පීමට සූදානම්
යමපල්ලෝ මෙහි උපදින නිරිසතුන් අල්ලා,යම පල්ලොව මෙහි උපදින නිසාතුන් අල්ලා
තව දුරටත් පරිපූර්ණ කියා කිව යුතුද.,තවදුරටත් පරිපූර්ණ කියා කිව යුතුද?
පමණක් සිදුකිරීමට කැමති බවත්,පමණක් සිදු කිරීමට කැමති බවත්
මිසදිටුවන්ගෙන් වන හානි,මිසදිටුවන්ගෙන් වන හානි
ඔය විදිහට කප් එක උස්සන්න තිබුනනෙ.,ඔය විදිහට කප් එක උස්සන්න තිබුණ නේ
කවුරුන්දෝ කකා පුතේ කියලා දුන්නේ?,කවුරුන්දෝ කකා පුතේ කියලා දුන්නේ.
දරුවන්ට අනවශ්‍ය ලෙස,දරුවන්ට අනවශ්‍ය ලෙස
නඩු කිහිපයක් මහාධිකරණයේත්,නඩු කිහිපයක් මහාධිකරණයෙත්
ආයුබෝවන්,ආයුබෝවත්
අප තෙරණුවන් වහන්සේගේ හා,අප තෙරුණුවන් වහන්සේගේ හා
එදින ධම්මචක්කප්පවත්තන සූත්‍ර දේශනාවේ දී යෙදෙන,එදින ධම්මච්චක්කප්පවත්තන සූත්‍ර දේශනාවේදී යෙදෙන
ටික සුභ පතලා.,ටික සුභ පතලා.
උදාර චරිතයක් නිර්මාණය වන්නට යන විට,උදාර චරිතයක් නිර්මාණය වන්නට යන විට
සිත ගැන කල්පනාවෙන් නොසිටියොත්,සිත ගැන කල්පනාවෙන් නොසිටියොත්
ඔයා ඒක වරදවා,ඔයා ඒක වරදවා
ගස ළඟට යෑම,ගස ළඟට යෑම
එවැන්නන් තුළ ඇත්තේ,එවැන්නන් තුළ ඇත්තේ
ඔවුහු ගිමන් නිවූහ,ඔවුහු ගිවන් නිවූහ.
නොබෝ වේලාවකින් හිස් කුටියකට පිවිසි සේක,නොබෝ වේලාවකින් හිස් කුටියකට පිවිසෙ සේක.
එවැනි උවදුරු අවම කර ගත හැකිය.,එවැනි උවදුරු අවම කරගත හැකිය.
පක්ෂයේ අනුශාසක ධුරය හිමි විය.,පක්ෂයේ අනුශාසක ධුරය හිමි විය.
අලිමංකඩත් උතුරට ඇති,අලිමංකඩත් උතුරට ඇති
මේ පංච බලයන්ගෙන් ප්‍රධාන වන්නේ,මේ පංච බලයන්ගෙන් ප්‍රධාන වන්නේ
ඊට පස්සේ චන්ද්‍රිකා ජනාධිපති කාලෙ,ඊට පස්සේ චන්ද්‍රිකා ජනාධිපති කාලෙ
අන්න ඒකයි දිනුවත් පැරදුනත්,අන්න ඒකයි දිනුවත් පැරදුනත්
අපි ලබාගන්නේ විදෙස් ශ්‍රමිකයින් විසින් උපයන ආදායමෙන්,අපි ලබා ගන්නේ විදෙශ් ක්‍රමිකයන් විසින් උපයන ආදායමෙන්
භූතාත්මය සතුටු කිරිමෙන්,භූතාත්මය සතුටු කිරීමෙන්
ආශ්වාස ප්‍රාශ්වාස අරමුණේ සිත පිහිටුවා ගන්න බැරි වෙන කොට,ආශ්වාස ප්‍රශ්වාස අරමුණේ සිත පිහිටුවා ගන්න බැරිවෙනකොට
ආරක්ෂක ලේකම් තර්ජනය කළ බව,ආරක්ෂක ලේකම් තර්ජනය කළ බව
එම ස්ථානයේ ඒ දවසෙහි,එම ස්ථානයේ ඒ දවසෙහි
එහි පැවැත්මට එය අත්‍යවශ්‍ය වේ,එහි පැවැත්මට ඒ අත්වැස්සේ
හැකි තරම් ඉක්මනින්,හැකි තරම් ඉක්මනින්
පෙන්වා දී ම සඳහා ඉදිරිපත් කළ හැකි ය,පෙන්වා දී ම සඳහා ඉදිරිපත් කළ හැකිය.
ඒත් අපි රියසලුත් කළාට පස්සේ,ඒත් අපි රියසලුත් කලාට පස්සේ
හිටියේ රත්තරං විතරයි.,හිටියේ රත්තරං විතරයි.
හොඳ යෝජනා ඉදිරිපත් කලා.,හොඳ යෝජනා ඉදිරිපත් කළා
"යම්කිසි ""ආධ්‍යාත්මික බලයක්"" තියන කෙනෙක්ව.",යම්කිසි අධ්‍යාත්මක බලයක් තියෙන කෙනෙක්ව
ඉහත සඳහන් කළ ධුතාංග දහතුන අයිති වෙයි.,ඉහත සඳහන් කළ ධූතාංග ධාතුන අයිති වෙයි.
දැරූ තැතක් ලෙස පෙනේ.,දැරූ තැතක් ලෙස පෙනේ.
කන්ටවත් නිදහසක් නැති හැටි.,කන්ටවත් නිදහසක් නැති හැටියි.
ප්‍රගුණ කරන්නා තුළ ප්‍රඥාව,ප්‍රගුණ කරන්නා තුළ ප්‍රඥාව
හිවලා ලූහුබැඳ යාමට පටන් ගෙන ඇත,හිවෙලා ලුහුබැඳ යාමට පටන්ගෙන ඇත.
ඊළඟ සතියේ මේ කතාවේ අටවෙනි කොටස,ඊලඟ සතියේ මේ කතාවේ අටවෙනි කොටස
මෙම ධර්ම කරුණු,මෙම ධර්ම කරුණු
ශ්‍රේෂ්ඨ ඖෂධයක් වැනිය.,ශ්‍රේෂ්ඨ ඖෂධයක් වැනි ය.
සති හතරකින් අවසාන කොටස් හතර දෙන්න,සති හතරකින් අවසාන කොටස් හතර දෙන්න
උපාසක බළල්ලු තමයිනෙ,උපාසක බලල්ලු තමයි නේ
එහෙම නැතිනම් තිරසනුන්ට නොවන බව.,එහෙම නැත්නම් තිරසුන්ට නොවන බව
සෘජුව ම බෞද්ධ පරමාර්ථ ඉටු කර ගැනීමට,සෘජුව ම බෞද්ධ පරමාර්ථ ඉටු කර ගැනීමට
පෙන්නල තියෙන්නෙ.,පෙන්නල තියෙන්නෙ
දෙවනවර නිවැරදි චින්තනයට මඟ පාදයි,දෙවන වර නිවැරදි චින්තනයට මග පාදයි
මා මින් පෙර සදහන් කළේ,මාමින් පෙර සඳහන් කළේ
ඇත්තට මේ වීඩියෝ එකේ මුල් ටික බලද්දී,පැත්තට මේ වීඩියෝ එකේ මුල් ටික බලද්දී
ගොඩේ ඉඳල ඇවිල්ල,ගොඩේ ඉඳලා ඇවිල්ලා
මේකට එක හේතුවක්.,මේකට එක හේතුවක්
ඒත් භාග්‍යා කැමති නිසා,ඒත් භාග්‍යය කැමති නිසා
යමක් දැනගන්න කියලා ගිහිල්ල.,යමක් දැනගන්න කියලා ගිහිල්ලා
අදත් හිටියා,අදත් හිටියා.
පළමුව වැනසිය යුතුය.,පළමුව වැනසිය යුතුය.
ඇති දෙයක් නොවන බව,ඇති දෙයක් නොවන බවත්
මුස්ලිම් සමාජය ගැන අප නොදන්නා කරුණු,මුස්ලිම් සමාජය ගැන අප නොදන්නා කරුණු
ධාතුසේන රජ්ජුරුවෝ කරපු අන්තිම ඉල්ලීම තමා,ධාතුසේන රජ්ජුරුවෝ කරපු අන්තිම ඉල්ලීම තමා
උත්සහ කලොත් නරකද?,උත්සහ කොලොට් නරකද?
අපි වාගෙ පුංති ඈයොන්ට බලන්ත,අපි වගේ පුන්ති ඈයොන්ට බලන්න
තෝරා ගත්තේ ය,තෝරා ගත්තේය.
උද්ඝෝෂකයන්ගේ අපේක්ෂාව,උද්ඝෝෂකයන්ගේ අපේක්ෂාව
අපි දෙන්නෙක් සහය පළ කළේ,අපි දෙන්නෙක් සහය පළ කළේ
ශ්‍රී ලංකාව තුළ ජනිත වූ,ශ්‍රී ලංකාව තුළ ජනිත වූ
කියන එක නේද?,කියන එක නේද?
හැබැයි ඇහැට කඳුළක් එක් කරමින්,හැබැයි ඇහැට කඳුළක් එක්කරමින්
සැබෑවට ම මිනිස්සු රට වෙනුවෙන් පාරට බහින්නේ,සැබෑවට ම මිනිසුන් රට වෙනුවෙන් පාරට බහින්නේ
ගෙදර දොරේ ගලන්නේ ය.,ගෙදර දොරේ ගලන්නේ ය
උණු කැවුම් වගේ,උණු කෑම වාගේ
පොලීසිය බලය මැඩගෙන ඉදිරියට ම ගියහ.,පොලීසිය බලය මැඩගෙන ඉදිරියට ම ගියහ
එපා වෙන් නැද්ද අප්පා,එපාවෙන් ඇද්දක්වා
පැවතුනේ් සොබාදහමත් සමඟ එකට බද්ධ වීමෙනි,පැවතුනේ සොබහ දහමත් සමඟ එකට බද්ධ වීමෙනි.
ඒත් මේ කථාව කියන්න,ඒත් මේ කථාව කියන්න
ඒවා නිර්දේශ කලා.,ඒවා නිර්දේශ කළා.
මෙය පෙන්වා නොපෙන්වා සිටින්න.,මේ පෙන්වා නොපෙන්වා සිටින්න
මේ චිත්‍රපටය සඳහා ඔවුන් එක්කර ගත්තා.,මේ චිත්‍රපටය සඳහා ඔවුන් එක්කර ගත්තා.
මවුපියන් තම සීමා හඳුනා ගැනීමත්,මවුපියන් තම සීමා හඳුනා ගැනීමක්
වසරක් පාසා,වසර ක් පාසක්
එතකොට රන්බණ්ඩා සෙනවිරත්න,එතකොට රම්බණ්ඩා සෙනවිරත්න
එදා සෙනසුරාදා දිනක් බැවින්,එදා සෙනසුරාදා දිනක් බැවින්
මේකට ගෙවල්වලින් දෙමාපියන්ගෙන් විරෝධතා,මේකට ගෙවල්වලින් දෙමාපියන්ගෙන් විරෝධතා
ආර්ථික ඝාතකයන්ට මේ රටේ ආර්ථිකය නම් වූ නොෟකාවට බර පටවලා,ආර්ථික ඝාතකයින්ට මේ රටේ ආර්ථිකය නම් වූ නෞකාවට බරපටවලා
මෙය සිදු විය හැකි ආකාර හතරක් පිළිබඳ ව,මෙය සිදු විය හැකි ආකාර හතරක් පිළිබඳ ව
තේරෙන්න ඕන.,තේරෙන්න ඕනේ.
ගින්දර භයානකයි කියලා,ගින්දර භයානකයි කියලා
බෞද්ධයෙකු විය යුතුයැයි පිළිගන්නට තරම් විය,බෞද්ධයකු විය යුතු යැයි පිළිගන්නට තරම් විය.
අපි පෙන්වා දෙමු,අපි පෙන්නා දෙමු
මේ සියල්ල එක ක්ෂණයකින් දකින්න පුළුවන්.,මේ සියල්ල එක්ක ක්ෂණිකයින් දකින්න පුළුවන්.
මහින්ද හිමියන් ද ප්‍රථමයෙන් පැවිදි වූයේ,මහින්ද හිමියන් ද ප්‍රථමයෙන් පැවිදි මැලිය.
යන්නයි ඉතින් මේ සූදානම,යන්නයි ඉතින් මේ සූදානම.
ෂහ් නියම කෑම ටික.,ශාක් නියම කෑම ටික
මුහුදු මහ විහාරය යනුවෙන්,මුහුදු මහ විහාරය යනුවෙන්
පුතාලට සම්පූර්ණ කරන්න බෑනේ.,පුතාලට සම්පූර්ණ කරන්න බැහැනේ.
එතෙක් මිතුරන් ඔබට එවන දේවල්,එතෙක් මිතුරන් ඔබට ඒ වන දේවල්
බුදුරජාණන් වහන්සේ ජීවමාන ව නොමැති නිසා,බුදුරජාණන් වහන්සේ ජීවමාන ව නොමැති නිසා
සිනමාවන් තව තව ගෙනෙන්නට,සිනමාවන් තව තව ගෙනෙන්නට
දිවි නහගන්නවා ඇර,දිවි නහගන්නවා හැර.
